,Symbol,Return,Trades,Win Rate,Best Trade,Worst Trade,Max Duration,Avg Duration
0,XRPUSDT,-1.423045895459992,3,33.33333333333333,0.9432547426079241,-2.1956087824351322,0 days 00:31:00,0 days 00:31:00
1,ETHUSDT,-0.45342557999999267,1,0.0,-0.45398331857292584,-0.45398331857292584,0 days 00:56:00,0 days 00:56:00
2,BTCUSDT,-0.31661505999999356,2,0.0,-0.01995296501290378,-0.3082651579526252,0 days 00:41:00,0 days 00:41:00
3,DOGEUSDT,-0.9267368330740137,2,50.0,1.29498655141842,-2.193320585742864,0 days 01:11:00,0 days 01:11:00
4,USDCUSDT,-0.17963068970000606,1,0.0,-0.17963073353044479,-0.17963073353044479,0 days 02:03:00,0 days 02:03:00
5,SOLUSDT,-1.071944459999993,1,0.0,-1.071989242779403,-1.071989242779403,0 days 01:19:00,0 days 01:19:00
6,FDUSDUSDT,-0.20959773097999856,1,0.0,-0.2095978332826487,-0.2095978332826487,0 days 01:46:00,0 days 01:46:00
7,PEPEUSDT,-2.6314727215044664,2,0.0,-0.49341944178376007,-2.1486551620714334,0 days 00:41:00,0 days 00:41:00
8,WLDUSDT,-1.8493580731999941,3,66.66666666666666,0.34213840112296,-2.1956087824351322,0 days 00:42:00,0 days 00:42:00
9,SHIBUSDT,0.323442053998576,3,66.66666666666666,1.2974051896207595,-2.2299622742572467,0 days 00:19:00,0 days 00:19:00
10,Total,-8.738384989919874,,,,,,
