الرمز,الكمية,السعر الابتدائي,سعر الهدف,سعر الإيقاف,الوقت,النتيجة,الرصيد المتبقي
DOGEUSDT,24.0,0.16995,0.17019743183603306,0.16985177658198344,2024-10-31 00:51:37.637091,خسارة,15.07592
DOGEUSDT,24.0,0.16976,0.170004316017915,0.16966330599104248,2024-10-31 00:52:05.767696,خسارة,15.14776
PEPEUSDT,206186.0,9.7e-06,9.704850419992844e-06,9.699029790003578e-06,2024-10-31 00:53:36.208115,ربح,11.00206606
DOGEUSDT,12.0,0.16999,0.170040997,0.169905005,2024-10-31 00:55:59.993805,انتهاء المهلة,6.716199603943661
NEIROUSDT,1735.0,0.0017254,0.00172591762,0.0017245373,2024-10-31 00:56:01.567670,ربح,9.71131275394366
SHIBUSDT,107991.0,1.852e-05,1.852926107061653e-05,1.851814746469173e-05,2024-10-31 00:56:02.368361,خسارة,11.710226163943661
SHIBUSDT,108050.0,1.851e-05,1.8519256070038444e-05,1.8508148464980777e-05,2024-10-31 00:56:23.188979,ربح,7.711312163943661
DOGEUSDT,12.0,0.17002,0.17026864930505106,0.16992117834747447,2024-10-31 00:56:38.908782,خسارة,7.749392163943661
NEIROUSDT,1159.0,0.00172604,0.0017269181754460859,0.0017258598182769572,2024-10-31 00:57:14.838766,انتهاء المهلة,7.75068382394366
SHIBUSDT,107933.0,1.853e-05,1.8539266080308116e-05,1.8528146459845943e-05,2024-10-31 00:57:18.453130,خسارة,9.74960298394366
DOGEUSDT,12.0,0.16989,0.17013641775557642,0.1697922746222118,2024-10-31 00:58:01.180710,انتهاء المهلة,7.79044298394366
NEIROUSDT,1158.0,0.00172719,0.0017280686934626217,0.0017270097317686893,2024-10-31 00:58:21.091398,خسارة,7.78900044394366
SHIBUSDT,107875.0,1.854e-05,1.8549271091508963e-05,1.8538145454245515e-05,2024-10-31 00:58:21.864319,ربح,9.79008169394366
NEIROUSDT,1159.0,0.00172543,0.001726307905776857,0.0017252498616115717,2024-10-31 00:58:57.157381,ربح,7.791129963943661
DOGEUSDT,12.0,0.17004,0.17028900386236795,0.16994100406881604,2024-10-31 00:59:25.023270,انتهاء المهلة,7.832449963943661
SHIBUSDT,107933.0,1.853e-05,1.8539266080308116e-05,1.8528146459845943e-05,2024-10-31 00:59:28.590344,ربح,9.833527783943662
NEIROUSDT,1158.0,0.00171917,0.001719685751,0.001718310415,2024-10-31 01:01:01.955721,خسارة,7.755968371436339
DOGEUSDT,12.0,0.17035,0.170401105,0.170264825,2024-10-31 01:14:02.404323,ربح,7.739856228208271
SHIBUSDT,108225.0,1.86e-05,1.8605580000000002e-05,1.85907e-05,2024-10-31 01:20:06.269876,خسارة,7.691695226760721
DOGEUSDT,12.0,0.17068,0.170731204,0.17059466,2024-10-31 01:20:22.413984,خسارة,9.73781522676072
PEPEUSDT,205128.0,9.75e-06,9.75487541135295e-06,9.749024794323524e-06,2024-10-31 01:30:09.069344,ربح,11.00204928
NEIROUSDT,1157.0,0.00172793,0.001728807528395023,0.0017277504253024884,2024-10-31 01:30:09.554108,ربح,13.002455999999999
SHIBUSDT,107469.0,1.861e-05,1.8619306236623834e-05,1.8608138381688082e-05,2024-10-31 01:30:23.288711,خسارة,13.0013794
NEIROUSDT,1157.0,0.001728,0.0017288775624522829,0.0017278204187738584,2024-10-31 01:30:29.718513,خسارة,11.00046714
SHIBUSDT,107469.0,1.861e-05,1.8619306236623834e-05,1.8608138381688082e-05,2024-10-31 01:30:35.138486,خسارة,10.99939054
PEPEUSDT,205339.0,9.74e-06,9.744870407484066e-06,9.739025796257967e-06,2024-10-31 01:30:40.140215,ربح,13.00144579
PEPEUSDT,205128.0,9.75e-06,9.75487541135295e-06,9.749024794323524e-06,2024-10-31 01:30:49.548597,خسارة,10.99939251
NEIROUSDT,1156.0,0.00172948,0.0017303582951140996,0.0017293002744429502,2024-10-31 01:30:50.983955,خسارة,12.99808183
SHIBUSDT,107527.0,1.86e-05,1.8609301219683566e-05,1.859813939015822e-05,2024-10-31 01:30:56.455619,ربح,12.9991593
DOGEUSDT,12.0,0.17052,0.17078185224592868,0.17041465187703567,2024-10-31 01:30:58.846356,انتهاء المهلة,15.0467193
PEPEUSDT,205973.0,9.71e-06,9.714855402824898e-06,9.709028798587551e-06,2024-10-31 01:32:36.795645,ربح,13.172286219999997
NEIROUSDT,1159.0,0.00172501,0.0017258861551326845,0.0017248306739336577,2024-10-31 01:32:38.679590,خسارة,13.170703559999996
DOGEUSDT,12.0,0.17011,0.170366119860329,0.1700074565698355,2024-10-31 01:32:39.190031,خسارة,15.210463559999996
SHIBUSDT,107759.0,1.856e-05,1.856928116468913e-05,1.855814341765543e-05,2024-10-31 01:32:49.717987,خسارة,15.209393009999996
PEPEUSDT,205761.0,9.72e-06,9.724860403208923e-06,9.719027798395538e-06,2024-10-31 01:33:17.498916,خسارة,11.207332319999995
NEIROUSDT,1158.0,0.00172666,0.0017275369197864146,0.0017264805391067927,2024-10-31 01:33:20.361368,خسارة,13.206063479999996
SHIBUSDT,107701.0,1.857e-05,1.85792861764386e-05,1.85681424117807e-05,2024-10-31 01:33:30.073775,خسارة,13.203917029999996
PEPEUSDT,205761.0,9.72e-06,9.724860403208923e-06,9.719027798395538e-06,2024-10-31 01:33:33.408438,خسارة,13.201856339999996
NEIROUSDT,1160.0,0.00172444,0.0017253158977351532,0.0017242607171324234,2024-10-31 01:33:35.409816,خسارة,13.201719539999996
SHIBUSDT,107817.0,1.855e-05,1.8559276154336025e-05,1.854814442283199e-05,2024-10-31 01:33:48.717881,خسارة,13.200646719999995
DOGEUSDT,12.0,0.17001,0.17026484669627165,0.16990807815186418,2024-10-31 01:33:50.358108,خسارة,15.239446719999995
PEPEUSDT,205973.0,9.71e-06,9.714855402824898e-06,9.709028798587551e-06,2024-10-31 01:33:52.859346,خسارة,15.237384819999995
NEIROUSDT,1161.0,0.00172212,0.001722994885097387,0.0017219408754513064,2024-10-31 01:33:56.680563,خسارة,15.236127589999995
SHIBUSDT,107875.0,1.854e-05,1.854927114541226e-05,1.853814542729387e-05,2024-10-31 01:34:07.168533,ربح,15.237208839999996
DOGEUSDT,12.0,0.16986,0.17011308632037786,0.1697589358398111,2024-10-31 01:34:22.907225,خسارة,15.273488839999995
