الرمز,الكمية,السعر الابتدائي,سعر الهدف,سعر الإيقاف,الوقت,النتيجة,الرصيد المتبقي
FDUSDUSDT,5.0,1.0004,1.0010389524221655,1.0002305837889172,2024-10-29 02:06:08.649453,انتهاء المهلة,40.0025
USDCUSDT,5.0,1.0005,1.0011149003982078,1.000342624800896,2024-10-29 02:08:33.467533,انتهاء المهلة,45.0025
DOGEUSDT,31.0,0.15941,0.15991827466916797,0.159179774165416,2024-10-29 02:08:35.275331,انتهاء المهلة,49.94576
NEIROUSDT,3151.0,0.0015867,0.0015875479846495053,0.0015865140126752472,2024-10-29 02:08:36.838260,انتهاء المهلة,54.94557774
FLOKIUSDT,35061.0,0.00014261,0.0001426819784848648,0.0001425954022575676,2024-10-29 02:08:39.461095,انتهاء المهلة,59.94527634
PEOPLEUSDT,71.3,0.07012,0.07024815048715982,0.07006644275642009,2024-10-29 02:08:40.805454,انتهاء المهلة,64.94411934
DOGEUSDT,30.0,0.16509,0.16557238279851916,0.1648735721007404,2024-10-29 03:40:37.710608,انتهاء المهلة,54.9521
USDCUSDT,5.0,1.0005,1.0011149003982078,1.000342624800896,2024-10-29 03:40:37.947077,انتهاء المهلة,59.9546
SHIBUSDT,272777.0,1.833e-05,1.8339167331587526e-05,1.8328165834206235e-05,2024-10-29 07:35:16.689501,ربح,65.00273018
NEIROUSDT,2937.0,0.00170228,0.0017032000956971245,0.0017020752941514377,2024-10-29 07:35:18.309248,خسارة,64.9987434
TURBOUSDT,492.0,0.010159,0.01016796143371681,0.010156043133141595,2024-10-29 07:35:24.105785,خسارة,54.9940194
FDUSDUSDT,10.0,1.0,1.0003,0.9995,2024-10-29 09:39:56.183802,انتهاء المهلة,10.475046696140451
DOGEUSDT,6.0,0.16954,0.16977935018356025,0.16944575590821986,2024-10-31 00:09:13.276986,انتهاء المهلة,4.01724
