الرمز,الكمية,السعر الابتدائي,سعر الهدف,سعر الإيقاف,وقت الاغلاق,وقت الفتح,نسبة الربح,نسبة الخسارة,المهلة,الربح,النتيجة,الرصيد المتبقي
COWUSDT,13.1,0.5328,0.5397867737283935,0.5245114131358034,2024-11-08 04:10:58.392653,1731028127.6895761,0.004,0.01,20m,0.0775572399999982,ربح,12.134308619999988
IQUSDT,1122.0,0.006241,0.006279039430602384,0.006165811284698808,2024-11-08 04:12:17.878483,1731028147.763457,0.004,0.01,20m,0.03190519200000086,ربح,12.182664215999988
WOOUSDT,33.7,0.2078,0.2096023892107285,0.20502860539463577,2024-11-08 04:23:26.584825,1731028143.056819,0.004,0.01,20m,0.049896219999999936,ربح,12.24948732599999
FLOKIUSDT,48100.0,0.00014553,0.00014640340289675445,0.00014378352855162277,2024-11-08 04:28:53.624476,1731028129.7591279,0.004,0.01,20m,-0.03464162000000037,انتهاء المهلة,12.22881801599999
ARKMUSDT,3.1,2.287,2.360683169822403,2.229575415088798,2024-11-08 04:28:55.745114,1731028131.6280947,0.004,0.01,20m,-0.0327421999999995,انتهاء المهلة,19.292846915999988
1MBABYDOGEUSDT,2794.0,0.0025052,0.0025202987492858446,0.0024751038253570776,2024-11-08 04:28:57.677583,1731028133.4433672,0.004,0.01,20m,-0.014277898800000521,انتهاء المهلة,26.285097066599988
EIGENUSDT,2.18,3.204,3.318369995629763,3.117979002185119,2024-11-08 04:28:59.643640,1731028136.1748595,0.004,0.01,20m,-0.06836044000000108,انتهاء المهلة,26.215386846599987
BONKUSDT,305011.0,2.295e-05,2.308770511722435e-05,2.2674597441387825e-05,2024-11-08 04:29:01.826908,1731028137.9761474,0.004,0.01,20m,-0.06574817116000009,انتهاء المهلة,26.163589276019987
ETHFIUSDT,4.2,1.617,1.6509263427305325,1.5854838286347337,2024-11-08 04:29:04.057651,1731028140.7018254,0.004,0.01,20m,0.01994999999999969,انتهاء المهلة,25.98876427601999
ACHUSDT,339.0,0.02066,0.02078820690039068,0.020409956549804664,2024-11-08 04:29:07.255766,1731028145.0747182,0.004,0.01,20m,-0.014007480000000072,انتهاء المهلة,25.99250053601999
COWUSDT,13.0,0.5384,0.5460106945340546,0.5297490527329727,2024-11-08 04:30:50.283693,1731028431.2953582,0.004,0.01,20m,0.09109099999999959,ربح,12.110896036019987
BEAMXUSDT,356.0,0.01968,0.019802111620094886,0.019441824189952557,2024-11-08 04:31:04.336568,1731028262.2202618,0.004,0.01,20m,-0.0779639999999997,انتهاء المهلة,12.052954036019987
